id,name,app_reference,category,description,slide_count,usage_count,rating,tags,is_active,performance_notes,reference_tiktok_url,action,slide1_top,slide1_center,slide1_bottom,slide2_top,slide2_center,slide2_bottom,slide3_top,slide3_center,slide3_bottom,slide4_top,slide4_center,slide4_bottom,slide5_top,slide5_center,slide5_bottom,slide6_top,slide6_center,slide6_bottom,slide7_top,slide7_center,slide7_bottom,slide8_top,slide8_center,slide8_bottom,slide9_top,slide9_center,slide9_bottom,slide10_top,slide10_center,slide10_bottom
d08e9207-d937-4801-a8d9-4beb2eaae3c9,Accidentally studied for seven hours today and didn't text anyone! ,minutewise,educational,,5,2,,,false,,https://www.tiktok.com/@miniutewise_thomas/photo/7522175732420726037?_d=secCgYIASAHKAESPgo86CCO5z%2F58pNe1%2FlzTO0dmnO6G%2FBomF1nAFBPjJd0%2B65J1Oto7H6STsfDLpZC26cbmV1%2BaKG70kPboW%2FwGgA%3D&_r=1&_svg=1&aweme_type=150&checksum=0942fad31a73db8e9f0fa2a9d9aeb578d9e911effc8fc59438153680ba1efb3a&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%2C%22follow_to_play_duration%22%3A-1.0%2C%22profile_clickable%22%3A1%7D&pic_cnt=5&preview_pb=0&sec_user_id=MS4wLjABAAAAwOfTeHHHMw4s98938J_Q5aqFM_TIg_nNRt1FHLh21PIqPYnCWE1FzrKtLN3WGjMq&share_app_id=1233&share_item_id=7522175732420726037&share_link_id=3de00346-cf8c-44f9-821d-a25cb74a22bb&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1753074177&u_code=ekik5jb3c47mkf&ug_btm=b8727%2Cb2878&ug_photo_idx=0&ugbiz_name=UNKNOWN&user_id=7512791193265341448&utm_campaign=client_share&utm_medium=android&utm_source=copy,,Accidentally studied for seven hours today and didn't text anyone!,,Thank God I'm single and I don't have to explain it to someone's uneducated son..,"1. STUDYING In public
the social Facilitation effect.",Seeing others working around can motivate you to stay productive instead of procrastinating.,,2. 321 method,Three tasks - Two brakes - One hour of learning.,,3. AI note taker- Minute wise.,"My favorite study app, takes notes, create quizzes, Flash card",,4. Study Music,"Classical music, Lo-fi beats, Ambient and natural sounds, Instrumental Soundtracks",,,,,,,,,,,,,,,,
e5868130-3d34-4dab-8a50-319b086e1db3,How to study smart and not hard?,minutewise,educational,,5,4,,,false,,https://www.tiktok.com/@studyv.tok/photo/7495758883281997062?is_from_webapp=1&web_id=7518687806144120351,,,How to study smart and not hard?,,Feynman technique.,"Step 1. Choose what you want to learn.
Step 2. Teach it simply. Explaining it in your own words like you are explaining it to a child.
Step 3. Find gaps: spots that you don't understand. 
Step 4. Review and simplify: Relearn and explain more clearly.
Step 5. Repeat. Go over it again. To get a full understanding.",,MINUTEWISE,"That translates and transcribes every lecture and zoom meeting into perfect notes, So that you don't waste your time Taking notes and use it to learn better.",,3-2-1 RECALL,"1. After learning: finish your study session.
2. REcall three things: Write down three key points that you remember.
3. RECall 2 details: Add specific facts or..Examples. 
4. RECall one question: write one question that you still have.
5. Review Later: To deepen your understanding.",,POMODORO Technique,"1. Set a task: The one you want to work on.
2. Work for 25 minutes: Fully for one POMODORO (i.e 25 minutes)
3. Take a short break: rest for 5 minutes.
4. Repeat: Use 4 pomodoro then.
5. A long break: for 15 to 30 minutes and then start again.",,,,,,,,,,,,,,,,
25748859-c9a6-4873-be44-9795f3e7f9e2,I found the best AI tool for students?,minutewise,educational,,5,2,,,false,,https://www.tiktok.com/@mracademics/photo/7361190955887709448?_d=secCgYIASAHKAESPgo81c8YOBqfwZS5h6OccAGW%2BzeWlB5ev6assgl8bhrOqzIUXg6FZpf699LhJAk1KDt6kv%2ByfHhXBFSmxygQGgA%3D&_r=1&_svg=1&aweme_type=150&checksum=b9287f662aee1fa513f97a50fa0cf30285be6631456127983fb8ec52076064c1&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%2C%22follow_to_play_duration%22%3A-1.0%2C%22profile_clickable%22%3A1%7D&pic_cnt=3&preview_pb=0&sec_user_id=MS4wLjABAAAAOFHyBXdPr-OxKY1XpX6pbYtBJuvr2TsoEV5AoLod8wyh9Sa4lhqFyn-y3-FgFIxY&share_app_id=1233&share_item_id=7361190955887709448&share_link_id=d624801d-c797-46c1-b41c-f0c6b55c4b2b&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1752487813&u_code=ekibd7m231h00e&ug_btm=b5836%2Cb2878&ug_photo_idx=0&ugbiz_name=UNKNOWN&user_id=7512431861400273928&utm_campaign=client_share&utm_medium=android&utm_source=more,,,I found the best AI tool for students?,,,AI tool like Minute wise.,,,"Record and transcribe your lectures, meetings, interviews, and more with our AI-powered platform.",,100+ Languages Supported,"support 100+ languages, so you can record and transcribe in your language.",,Generate summaries and insights,Generate summaries and insights from your notes to help easily and fast memorize the content.,,,,,,,,,,,,,,,,
575e7057-cd61-4c35-9bbf-4a50127f1196," If you are not studying Someone else is,",minutewise,educational,,6,10,,,false,,https://www.tiktok.com/@smartnotetips/photo/7464252725656554770?is_from_webapp=1&web_id=7512367289586681375,,,"If you are not studying
Someone else is,
And he is going to take your spot.",,Active recall,"Step 1 :Read your material.
Step 2 :Choose one of these methods. Blurting 
                                                              Flashcards 
                                                              Mindmap
Step 3 :Make organized summary 
             (application Mentioned on the next slide)",,BLURTING,"1. Let AI make your notes. (for that use MINUTEWISE) Best study app all around the AI circle, that helps you get Instant notes, records all your lectures and zoom meetings. And give you summarized and well-organized notes.
2. Write everything you remember.
3. RECheck and repeat.",,FLASHCARDS,"1. Use the topic notes. 
2. Put the term on one side in their definition on the other. 
3. Go over all the cards.",,MINDMAP,"1. Begin with the central idea or the topic in the center of your page
2. Branch out all the main categories.
3. Create sub-branches with subcategories. 
4. Keep up branching ideas to expand your mind map.",,,COMMENT NOTES I WILL SHARE THE LINK OF THIS AI NOTE-TAKING TOOL,,,,,,,,,,,,,
35d07a1a-5c2a-437f-b301-9d9042e720e3,Secret study tip that changed my grade from C to A. ,minutewise,educational,,7,3,,,false,Great performance ,,,,"Secret study tip that changed my grades
 from C to A.",,1. My sleep routine,"When I have my important exam, I sleep with my notes because this helps me remember them. I also go to bed at 8:30 PM and wake up at 5:30 AM. This is scientifically a peak performance time for work.",,2. Recording my notes in class,I always record all my lectures using Minutewise. That gives me perfect notes of every single lecture,,3. I read three books a week,"I try to read two hours every day. Because this improves my vocab and grammar. I highlight words that are different, add them to my vocab notes on my mobile.",,4. Secret connection,I use a specific scent (Fruity or vanilla) while studying and then I use the same scent when I am in my exam hall. This scientifically tricks your mind to remember your notes.,,5. The study bank method,I read 1 paragraph of a chapter as much as I can. I turn it into questions and do it for the entire chapter. Works when you are answering questions in real time.,,6. Using Apps like Minutewise really saved my time as I don't have to make notes and focus on my studies.,,Available on IOS,,,,,,,,,
f58488a5-bc46-4b72-b9ed-50d5a4ace095,Stop rereading. It’s not working.,minutewise,educational,"""The most overpowered study methods"" changed to ""Stop rereading. It’s not working.""",6,5,,,true,Performance was good but due to content fatigue the script is tweaked! ,https://www.tiktok.com/@thinkyonspotify/photo/7491715581184412959?_d=secCgYIASAHKAESPgo8FVXfyTFeNHe%2FJip5PrJu4MGM0q1abdVq%2Fv%2BwGtbP6W%2BmqM%2BsgJWxz6jzOktsK5ZET8o53U8Z2QTeHxxnGgA%3D&_r=1&_svg=1&aweme_type=150&checksum=e7beb17261f5705159119346d07f2c490738aa4d730e0abb6c8e1cb223a0f4c6&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%2C%22follow_to_play_duration%22%3A-1.0%2C%22profile_clickable%22%3A1%7D&pic_cnt=5&preview_pb=0&sec_user_id=MS4wLjABAAAAvZ6hf8txmYh5C8Ek7CXhaaEufXbSpeFq4ovpq2PRgjhNZ77Z-0Cy5phHxy-dYDav&share_app_id=1233&share_item_id=7491715581184412959&share_link_id=10bd9dab-604d-4d70-9586-b1441727adf8&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1752472148&u_code=dlc7ed1h90mh13&ug_btm=b8727%2Cb2878&ug_photo_idx=3&ugbiz_name=UNKNOWN&user_id=7024429761079673862&utm_campaign=client_share&utm_medium=android&utm_source=whatsapp,,,"Stop rereading.
It’s not working.",,,"Blurting
best for biology & chemistry

→ forces panic-recall (which = real memory)",,,"Feynman Technique
best for math & history

→ if you can’t explain it simply, you don’t know it",,,"Pomodoro Technique
best for writing & reading

→ makes 2 hours feel like 30 mins",,,But what if you can’t even make proper notes in class?,,"Your professor speaks at 2x speed?
Let MinuteWise App handle it.

Records. Transcribes. Turns lectures into clean notes.",,On App Store.,,,,,,,,,,,,
3b8b2637-d4b1-4f43-b604-37e146e71415,Study hacks I wish I knew earlier.,minutewise,educational,,8,5,,,false,,https://www.tiktok.com/@bixv_a/photo/7486133769938701590?_d=secCgYIASAHKAESPgo80wSu9L7p27LV%2BDn6%2FFbblfYHjiCXbxrcxX%2BTlVy6UiBAUZah3iZE6CxaLhSQ4SdkuPxgWGa%2BRMBPqZyeGgA%3D&_r=1&_svg=3&checksum=4ad153bb6ab5e7bdc69f0f628730712019a24ba64ac53012906308c4c6da9f5f&cover_exp=v0&link_reflow_popup_iteration_sharer=%7B%22follow_to_play_duration%22%3A-1%2C%22dynamic_cover%22%3A1%2C%22click_empty_to_play%22%3A1%2C%22profile_clickable%22%3A1%7D&preview_pb=0&sec_user_id=MS4wLjABAAAAYfpWFqiCOvAxFjxi3eYYFcSCHtEHl2Yl5Xn538svDD-TYsJLHDGmeO3VOOO4xZJv&share_app_id=1233&share_item_id=7486133769938701590&share_link_id=54029EF9-D0D8-4DF2-8C50-691799AD9E11&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1751902181&tt_from=copy&u_code=ekg3c0158hk12h&ug_btm=b5836%2Cb2878&ug_photo_idx=0&user_id=7510192409444647982&utm_campaign=client_share&utm_medium=ios&utm_source=copy,,,Study hacks I wish I knew earlier.,,,1. Colour Code notes by topics and not just by color.,,,2. Group studying together to fill knowledge gaps better and faster.,,,"3. Using minute wise to make notes Instead of wasting my time on writing them. 
(comment for link)",,,4. Studying for 25 minutes and then taking rest (Pomodoro technique),,,5. 5 minute rules: Study for some time and once you are exhausted push yourself for five more minutes.,,,"6. Turn off your screen one hour before bed.
 Good sleep = Good memory.",,,7. If you don't want to write notes comment LINK And I will share the AI tool with you.,,,,,,,
9ab3d34f-ba21-4d52-9650-be65df00f2b6,Study Methods I wish I knew sooner,minutewise,educational,,4,7,,,false,,https://www.tiktok.com/@samantha.bollock/photo/7503999036358348078?_d=secCgYIASAHKAESPgo8dBjzMJG8hDfCclUWsktFDSEH7n2NelMrzKU8ZtvTeMGWqCXKkmPHEfjjZOm9oBM0iIliD%2BArY%2BDlY2mIGgA%3D&_r=1&_svg=1&aweme_type=150&checksum=07c61f24571f24bf763a05e78922f60296ec754dd10e05577ad62a78601873e3&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%2C%22follow_to_play_duration%22%3A-1.0%2C%22profile_clickable%22%3A1%7D&pic_cnt=3&preview_pb=0&sec_user_id=MS4wLjABAAAAioIMVdp1SgQ3K3yfQJjr2PpPA0lyMWettboihd-T72sjAYL30aRy-GTwwi814w25&share_app_id=1233&share_item_id=7503999036358348078&share_link_id=9910d938-7ee0-4812-b3a5-c8e1737025e7&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1753643507&u_code=ekfh33ff0fl9c2&ug_btm=b2878%2Cb2878&ug_photo_idx=0&ugbiz_name=UNKNOWN&user_id=7509803644498609153&utm_campaign=client_share&utm_medium=android&utm_source=copy,,Tips I wish I knew sooner,,,,"English: Feynman Technique
Math's: Practice problem
Science: Active Recall
Chemistry: Practice problems",,,"History: S3QR method
Biology: Active Recall
Psychology: Feynman technique
Geography: Active Recall",,,The app I use to make notes is Minutewise that saves so much time for me to actually study.,,,,,,,,,,,,,,,,,,,
41898054-2329-4054-bd4b-aeff8a5ffa63,Best time to study (according to science),minutewise,habits,,5,4,,,true,,https://www.tiktok.com/@samantha.bollock/photo/7501411625631616302?_d=secCgYIASAHKAESPgo8Oryu%2FYxN01ZK20k1rSvDfHV43Vg72%2BQvpPICV%2Brr9LiGRhMvaso%2BJKirOZf9MYY7FujxgbzIouNL7vpPGgA%3D&_r=1&_svg=1&aweme_type=150&checksum=eb39f8a964d2e3ce4738f139b4fce96c82c01408a80f502f03b49dd26c731dd7&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%2C%22follow_to_play_duration%22%3A-1.0%2C%22profile_clickable%22%3A1%7D&pic_cnt=5&preview_pb=0&sec_user_id=MS4wLjABAAAAioIMVdp1SgQ3K3yfQJjr2PpPA0lyMWettboihd-T72sjAYL30aRy-GTwwi814w25&share_app_id=1233&share_item_id=7501411625631616302&share_link_id=6db84d34-c3ea-42cd-a2c2-aa9961052d15&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1753643652&u_code=ekfh33ff0fl9c2&ug_btm=b5836%2Cb2878&ug_photo_idx=0&ugbiz_name=UNKNOWN&user_id=7509803644498609153&utm_campaign=client_share&utm_medium=android&utm_source=copy,,,Best time to study (according to science),,Morning 4:00 AM to 11:00 AM,"Brain function is 100%
Perfect for tough subjects like math and physics",,Day 12:00 PM to 2:00 PM,"Energy dip? 
Focus is still good for.. Viewing materials and writing essays",,Evening 5:00 PM to 8:00 AM,"Night owl mode
Great for creative tasks: Art, drama etc., listening to lectures",,Problem: Most students are too worried to take notes. So they don't pay attention to the lectures.,Solution: is to use Minutewise that can record your lectures and easily transcribe it into notes that you just have to learn.,,,,,,,,,,,,,,,,
1fceea73-1f76-47cc-ae54-2c3a9bc4d3cb,How tf does he get good grades,minutewise,habits,,2,4,,,false,great performance ,https://www.tiktok.com/@dnldsz/video/7403738347287416071?_r=1&_t=ZS-8y1AdCCHAh8,,,"How tf does he get good grades, 
If he doesn't study?",,,Just using minute wise and focusing on Learning.,,,,,,,,,,,,,,,,,,,,,,,,,
3e3d0557-c69d-4e77-ba01-4e960f0e11a7,Steal my secret to study for long hours ,minutewise,habits,,7,17,,,false,,https://www.tiktok.com/@phuonghocdi/video/7389542279830162706?_r=1&_t=ZP-8xusJS1wqS7,,,Steal my secret to study for long hours,,,1. plan,,,2. Pomodoro,,,3. MinuteWise: note taking app,,,4. Ambient sound,,,5. Hydration,,,6. Company,,,,,,,,,,
6c3ecbf5-bfe2-4c03-b6a5-7bfc928a89e9,6 Toxic study motivation,minutewise,motivational,,7,3,,,false,,https://www.tiktok.com/@lovebeawizard/photo/7509482298920668424?_d=secCgYIASAHKAESPgo8IqUaEdDGcBWh%2BVdry1vXhPUlm%2BZ8TU2vcHQq21bTleiMc4MNUSrrVPGIouB0Ffmn01pP2OijSeoK0xr3GgA%3D&_r=1&_svg=3&checksum=c34eddf0b5005282ebc4497532fbe9079cc5194a688d0c081eaa720b6d76494c&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22follow_to_play_duration%22%3A-1%2C%22profile_clickable%22%3A1%2C%22dynamic_cover%22%3A1%7D&preview_pb=0&sec_user_id=MS4wLjABAAAAEzTrpVXR_iqg4x5BrQumci3NcnghiPPns0oAGC470qdcue6BS79tLqWHxKOYso-T&share_app_id=1233&share_item_id=7509482298920668424&share_link_id=D3420229-7E76-4058-BB34-2A0B08941DCC&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1752167230&tt_from=copy&u_code=ekiik5fd7id4bj&ug_btm=b8727%2Cb2878&ug_photo_idx=0&user_id=7512734276250502175&utm_campaign=client_share&utm_medium=ios&utm_source=copy,,,6 Toxic study motivation,,,"1. Imagine everyone laughing at you for being the girl who dreams for success, but don't work for it.",,,"2. You don't wanna look back, but you wish you worked a little harder. Give up your lame excuses and show up.",,,"3. You're not ashamed of how little you've accomplished today. Congratulations, you are an average.",,,"4. Every time you scroll through your phone, someone is securing your spot at the bottom.",,,5. If you are not ahead of everyone else. You are already behind.,,,6. Prove Them wrong,,,,,,,,,,
75f7f178-c371-4db2-87c3-ddc9478ae9e4,Everything that kills me makes me feel alive,minutewise,motivational,,5,55,,,false,,https://www.tiktok.com/@studytokerapp/photo/7524276263188466951?_d=secCgYIASAHKAESPgo8p7SFKqioCffFNZitNoUX1NP2k77cMtCw3%2B%2Fsn651TQu3Mo2VmZT5zqH9fbetJ58%2Frw7J74%2F4Rx%2B3ybcLGgA%3D&_r=1&_svg=3&checksum=a36e15109383a1e564d5f4262546fc917bf738924f72dfacdb2fcc23369a50ff&link_reflow_popup_iteration_sharer=%7B%22profile_clickable%22%3A1%2C%22follow_to_play_duration%22%3A-1%2C%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%7D&preview_pb=0&reflow_page_type=1&sec_user_id=MS4wLjABAAAA5mGQJMDvg47WS1PMA7c4RwJ-Mj9xZLzP2BSzkAYjR5XxqIW8Hq-6k2CaLGfpLvei&share_app_id=1233&share_item_id=7524276263188466951&share_link_id=93375EAD-EA54-46C7-BE33-DC7D1640C137&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1754375454&tt_from=copy&u_code=ehgdf9e1k9aih1&ug_btm=b8727%2Cb2878&ug_photo_idx=0&user_id=7444868953263047722&utm_campaign=client_share&utm_medium=ios&utm_source=copy,,,"Everything that kills 
me makes me feel alive",,1. Relying only on rereading.,"Simply rereading notes and textbooks creates an illusion of learning but doesn't improve recall. 
Use active recall: Close your book and try to recall key concepts from your memory without checking your notes.",Use Feynman technique,2. Studying for long hours without break.,"Studying for long hours without a break leads to mental fatigue and decreases productivity. 
Use pomodoro technique: Study for 25 to 50 minutes and then take a break of 5-10 minutes to give your brain some rest.",,3. Using AI to study.,AI apps like Minutewise can turn your lectures and meetings into simple notes and give you time to actually understand and learn the concept.,Available on IOS,4. IGNORING practice questions,"Memorizing theory without testing yourself makes it hard to apply knowledge in exams. 
Past papers, quizzes and practice questions help identify weak spots and improve exam confidence.",,,,,,,,,,,,,,,,
9aa78314-3fd6-496b-a500-63fe5161e24c,Study until you're the one everyone wants answers from.,minutewise,motivational,,5,102,,,false,,https://www.tiktok.com/@smartnotetips/photo/7469155096257940754?is_from_webapp=1&sender_device=pc&web_id=7520224937136915976,,,Study until you're the one everyone wants answers from.,,#1 Memorizing without understanding,"Problem:

Memorizing without understanding makes you forget quickly, struggle to apply knowledge, reduce critical thinking, and get confused with variations","Solution: 

Feynman, Feynman, Feynman.",#2 Studying only before exams.,"Problem: 

Cramming too much information in a short time overwhelms the brain, leads to poor retention.","Solution:

Do quizzes, study with flashcards, and review consistently instead of cramming.",#3 Poor planning and time management,"Problem: 

Last-minute studying without a clear schedule makes it hard to stay in control and leaves insufficient time for revision","Solution: 

Create a proper study plan",,"Use Minutewise: AI Note Taker

An app that supports note-taking creates quizzes, flashcards and mindmap to help you review consistently. It allows you to test your knowledge using the Feynman technique and provides scoring. You can create a folder to organize your study plan effectively.",,,,,,,,,,,,,,,,
9e5dd71b-47ce-458c-94c1-2be81bd2382b,You are not lazy.  You are just overwhelmed.  Do this.,minutewise,motivational,,7,3,,,false,great  engagement,https://www.tiktok.com/@align.dx/photo/7489820093438889238?_d=secCgYIASAHKAESPgo8vlGELxEVnh4erb%2B8nS%2BDkmMpPNVmE%2BoN9PiUebME36DlR%2B9id05s6EkzyvYtalsxV96kfvjZcHeRwFypGgA%3D&_r=1&_svg=3&checksum=7b8902b748647a38677313cd8c20188413501efe61cd017c2d2822faac26a2e7&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22follow_to_play_duration%22%3A-1%2C%22profile_clickable%22%3A1%2C%22dynamic_cover%22%3A1%7D&preview_pb=0&sec_user_id=MS4wLjABAAAAEzTrpVXR_iqg4x5BrQumci3NcnghiPPns0oAGC470qdcue6BS79tLqWHxKOYso-T&share_app_id=1233&share_item_id=7489820093438889238&share_link_id=D888EA24-B361-4B53-B613-15E75D45E7A5&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1752167193&tt_from=copy&u_code=ekiik5fd7id4bj&ug_btm=b8727%2Cb2878&ug_photo_idx=2&user_id=7512734276250502175&utm_campaign=client_share&utm_medium=ios&utm_source=copy,,"You are not lazy. 
You are just overwhelmed. 
Do this.",,,Dump everything that is in your head,You can't organize the chaos if it is still in your mind,,Sort out by energy and not time.,"Low energy? do the simple stuff
High energy? tackle the deep work",,Use AI = BE SMART,"Use tools like minutewise to generate notes and summaries 
This will help you get extra time for your studies",,Stop over planning. Start doing.,Perfectionism is equal to procrastination in disguise.,,Set a focus hour daily.,"No phone, no distraction, just a powerful hour of progress.",,Celebrate small wins.,"Momentum is built by noticing progress, not waiting for perfectionism.",,,,,,,,,,
7ec28579-5fa3-4785-934b-dc75cb933be7,4 tips I wish I knew as an incoming freshman in college.,minutewise,tips,,5,2,,,false,,https://www.tiktok.com/@somsomwhere/photo/7527433760028069133?_d=secCgYIASAHKAESPgo8iQmuBGXb9v%2B4GXh3tYwiIk8L08%2Ff9ntOX%2BZ4Qam%2BTbEC7zYhKMTqDiGT9kwvku6I2gOxSe7ZdSnv0VeuGgA%3D&_r=1&_svg=3&aweme_type=150&checksum=d5e7da068ca5735d1829e8b57d87739a28347dd7b81b4bf66726a48a0f199e18&link_reflow_popup_iteration_sharer=%7B%22click_empty_to_play%22%3A1%2C%22dynamic_cover%22%3A1%2C%22follow_to_play_duration%22%3A-1.0%2C%22profile_clickable%22%3A1%7D&pic_cnt=6&preview_pb=0&sec_user_id=MS4wLjABAAAA3lTqmWq1-77pt0xpr_USonYr-H4rKT_AEiFUi5NC_YHRZM_2mTiWJUn1Dk464HOQ&share_app_id=1233&share_item_id=7527433760028069133&share_link_id=59d8f9b1-cd97-4b8e-8bc7-6e9d3d5cccc1&share_scene=11&sharer_language=en&social_share_type=14&source=h5_m&timestamp=1753149643&u_code=ekia0b96ibh5j7&ug_btm=ChatShellActivity%2Cb2878&ug_photo_idx=0&ugbiz_name=UNKNOWN&user_id=7512367289577161759&utm_campaign=client_share&utm_medium=android&utm_source=copy,,,4 tips I wish I knew as an incoming freshman in college.,,,"1. Have a Google Calendar to keep track of their assignments, exams and important dates.",,,2. Join as many clubs and organizations on campus as you can make more friends and network.,,,3. Use study Tools like minute wise that can decode all your lectures and give you instant summaries.,,,"4. Go out to study with your friends, either in a library or in a cafe. It helps you more than studying alone in a private dorm.",,,,,,,,,,,,,,,,
